SeqIDs	lh1	lh2	lh3	weight1	weight2	weight3	area	corner
(3,8,2,4)	-1246.46	-1247.81	-1248.81	0.737519	0.191972	0.070509	1	1
(5,1,7,6)	-1046.02	-1059.46	-1059.5	0.999997	1.45998e-06	1.39734e-06	1	1
(3,8,6,5)	-1209.64	-1215.18	-1215.12	0.991961	0.00390122	0.0041379	1	1
(4,7,1,2)	-1139.3	-1143.77	-1141.55	0.894977	0.0102298	0.0947935	1	1
(6,2,8,4)	-1267.07	-1266.93	-1268.48	0.417714	0.480032	0.102254	4	2
(2,5,8,1)	-1249.09	-1249.21	-1245.89	0.0378587	0.0337572	0.928384	3	3
(8,6,5,4)	-1258.82	-1258.62	-1253.94	0.00747043	0.0091862	0.983343	3	3
(3,8,1,4)	-1199.18	-1198.48	-1200.04	0.291785	0.584694	0.12352	4	2
(8,3,4,1)	-1199.18	-1198.48	-1200.04	0.29113	0.585235	0.123635	4	2
(1,7,5,8)	-1230.94	-1230.17	-1230.56	0.216914	0.468097	0.314989	7	2
(8,4,3,7)	-1224.88	-1225.99	-1226.17	0.623051	0.205142	0.171807	7	1
(8,3,6,2)	-1227.64	-1227.7	-1227.7	0.345963	0.327039	0.326997	7	1
(8,1,7,6)	-1138.62	-1143.74	-1144.7	0.991782	0.00594322	0.00227448	1	1
(1,3,4,5)	-1116.21	-1115.68	-1116.28	0.276347	0.466793	0.25686	7	2
(8,4,3,5)	-1251.04	-1252.7	-1254.02	0.805818	0.153448	0.0407341	1	1
(3,6,7,8)	-1139.91	-1140.54	-1129.79	4.03164e-05	2.14847e-05	0.999938	3	3
(5,3,8,2)	-1258.96	-1259.05	-1257.71	0.185643	0.169614	0.644742	7	3
(2,1,8,6)	-1216.25	-1220.35	-1220.89	0.974488	0.0161219	0.00939016	1	1
(3,8,4,6)	-1212.74	-1214.23	-1212.36	0.371669	0.0843082	0.544023	6	3
(6,7,1,8)	-1138.62	-1143.74	-1144.7	0.991785	0.00594054	0.00227431	1	1
(7,5,8,2)	-1284.97	-1284.24	-1285.88	0.286548	0.597852	0.1156	4	2
(6,1,3,5)	-1076.28	-1076.8	-1074.42	0.124828	0.074245	0.800927	3	3
(7,8,2,5)	-1284.24	-1285.88	-1284.97	0.597926	0.11557	0.286504	6	1
(3,6,8,5)	-1215.18	-1209.64	-1215.12	0.00390122	0.991959	0.00413986	2	2
(3,4,8,1)	-1200.04	-1199.18	-1198.48	0.123542	0.2918	0.584658	5	3
(5,7,4,2)	-1192.44	-1197.78	-1196.73	0.981798	0.00473472	0.0134669	1	1
(8,6,1,7)	-1144.7	-1138.62	-1143.74	0.00227487	0.991781	0.00594413	2	2
(6,7,1,2)	-1048.26	-1081.53	-1081.53	1	3.56536e-15	3.56332e-15	1	1
(7,3,2,1)	-1096.39	-1105.21	-1104.67	0.999598	0.000148311	0.000254088	1	1
(6,3,5,7)	-1060.24	-1060.07	-1047.67	3.48936e-06	4.12502e-06	0.999992	3	3
(2,1,6,4)	-1113.23	-1118.44	-1116.03	0.937846	0.00512472	0.0570295	1	1
(2,6,5,7)	-1117.39	-1102.2	-1117.09	2.54167e-07	0.999999	3.40759e-07	2	2
(6,3,1,2)	-1073.3	-1079.53	-1080.21	0.997043	0.00196238	0.00099483	1	1
(1,3,8,2)	-1201.52	-1201.52	-1195.41	0.00220899	0.00220876	0.995582	3	3
(3,8,2,6)	-1227.64	-1227.7	-1227.7	0.346038	0.326992	0.32697	7	1
(4,8,2,5)	-1290.73	-1291.84	-1293.13	0.704082	0.231815	0.0641027	4	1
(4,2,6,3)	-1131.38	-1135.74	-1136.12	0.978888	0.0125733	0.0085391	1	1
(4,3,2,5)	-1165.34	-1162.17	-1165.91	0.0396131	0.93805	0.0223373	2	2
(3,7,2,6)	-1085.8	-1066.81	-1085.82	5.66935e-09	1	5.55444e-09	2	2
(7,3,6,4)	-1066.14	-1052.89	-1066.19	1.76275e-06	0.999997	1.67828e-06	2	2
(8,7,4,5)	-1272.23	-1269.44	-1273.24	0.0562564	0.92324	0.0205033	2	2
(3,1,4,7)	-1099.84	-1100.06	-1098.65	0.196667	0.15706	0.646273	6	3
(1,7,3,6)	-1025.81	-1003.77	-1025.73	2.70413e-10	1	2.91087e-10	2	2
(5,1,4,8)	-1248.53	-1251.58	-1251.44	0.90729	0.0431641	0.0495455	1	1
(3,7,1,5)	-1098.43	-1097.36	-1098.54	0.209109	0.605365	0.185526	7	2
(8,7,5,3)	-1225.86	-1226.49	-1222.97	0.0513115	0.0274937	0.921195	3	3
(1,7,3,5)	-1098.54	-1097.36	-1098.42	0.18551	0.605304	0.209186	7	2
(4,6,5,1)	-1119.53	-1119.78	-1117.47	0.103892	0.0805508	0.815557	3	3
(4,5,7,1)	-1145.42	-1145.31	-1143.31	0.0964454	0.108319	0.795235	3	3
(8,2,6,5)	-1271.2	-1272.29	-1272.37	0.606454	0.204851	0.188695	7	1
(2,6,7,8)	-1203.43	-1204.46	-1199.42	0.0176189	0.00630342	0.976078	3	3
(1,2,3,7)	-1096.39	-1105.21	-1104.67	0.999597	0.000148375	0.000254385	1	1
(5,4,1,6)	-1119.78	-1119.53	-1117.47	0.0805574	0.103906	0.815536	3	3
(1,6,3,5)	-1076.28	-1074.42	-1076.8	0.124813	0.8008	0.0743871	2	2
(4,8,6,5)	-1253.94	-1258.62	-1258.83	0.983375	0.00918888	0.00743618	1	1
(8,2,6,5)	-1271.2	-1272.29	-1272.37	0.606454	0.204851	0.188695	7	1
(8,4,3,6)	-1212.36	-1212.75	-1214.23	0.544471	0.371194	0.0843355	4	1
(8,1,2,4)	-1236.76	-1238.11	-1231.81	0.00698205	0.00181806	0.9912	3	3
(7,6,5,1)	-1046.02	-1059.46	-1059.5	0.999997	1.46237e-06	1.39773e-06	1	1
(4,3,8,1)	-1200.04	-1198.48	-1199.18	0.123713	0.585635	0.290652	5	2
(7,6,8,5)	-1172.09	-1173.02	-1175.07	0.691489	0.273495	0.0350163	4	1
(3,1,7,6)	-1003.77	-1025.73	-1025.81	1	2.91049e-10	2.70407e-10	1	1
(8,3,4,1)	-1199.18	-1198.48	-1200.04	0.29113	0.585235	0.123635	4	2
(6,8,5,1)	-1211.89	-1211.23	-1211.89	0.255079	0.48985	0.25507	7	2
(4,8,7,1)	-1230.33	-1232.57	-1230.87	0.59152	0.0627438	0.345737	6	1
(3,2,8,4)	-1247.81	-1246.46	-1248.81	0.191972	0.737519	0.070509	2	2
(4,6,1,3)	-1075.02	-1075.21	-1075.53	0.412057	0.340635	0.247308	7	1
(1,6,4,3)	-1075.53	-1075.21	-1075.02	0.247258	0.340752	0.41199	7	3
(7,2,5,3)	-1159.12	-1156.32	-1156	0.024914	0.411104	0.563982	5	3
(3,6,7,5)	-1060.24	-1060.07	-1047.67	3.48933e-06	4.12345e-06	0.999992	3	3
(4,7,3,1)	-1099.84	-1100.06	-1098.65	0.196626	0.157005	0.646369	6	3
(1,8,2,6)	-1220.89	-1216.25	-1220.35	0.00939219	0.974482	0.0161258	2	2
(1,8,7,3)	-1182.9	-1181.31	-1182.18	0.125985	0.615501	0.258514	5	2
(4,5,6,2)	-1175.4	-1174.1	-1169.77	0.00353359	0.0129205	0.983546	3	3
(2,3,1,5)	-1113.96	-1108.19	-1113.71	0.00310699	0.99291	0.00398304	2	2
(1,6,2,5)	-1122.63	-1114.01	-1123.28	0.00017988	0.999725	9.46219e-05	2	2
(2,1,5,6)	-1114.01	-1122.63	-1123.28	0.999725	0.000179867	9.46506e-05	1	1
(1,7,8,3)	-1181.31	-1182.9	-1182.17	0.61457	0.125795	0.259635	6	1
(5,6,4,7)	-1098.92	-1089.69	-1098.88	9.82039e-05	0.9998	0.000101984	2	2
(3,5,8,4)	-1251.04	-1252.7	-1254.02	0.805706	0.153582	0.0407127	1	1
(5,7,2,4)	-1192.44	-1196.73	-1197.78	0.981798	0.0134675	0.00473496	1	1
(3,1,7,2)	-1105.21	-1096.39	-1104.67	0.000148366	0.999598	0.000253981	2	2
(3,7,5,1)	-1098.43	-1098.54	-1097.36	0.209115	0.185524	0.605361	7	3
(7,2,4,3)	-1157.55	-1157.32	-1151.4	0.00212971	0.00268259	0.995188	3	3
(8,6,2,1)	-1216.25	-1220.35	-1220.89	0.97449	0.016123	0.00938744	1	1
(2,1,7,8)	-1231.42	-1238.97	-1238.51	0.998646	0.000524298	0.000829779	1	1
(4,7,2,8)	-1282.41	-1278.63	-1280.95	0.0204551	0.891986	0.0875586	2	2
(2,5,3,6)	-1137.07	-1135.91	-1139.85	0.234626	0.750753	0.0146209	2	2
(8,3,6,5)	-1209.64	-1215.12	-1215.18	0.991963	0.00414104	0.00389643	1	1
(6,5,8,7)	-1173.02	-1175.07	-1172.09	0.273057	0.0349514	0.691991	6	3
(8,5,4,2)	-1291.84	-1290.73	-1293.13	0.232128	0.703806	0.064066	4	2
(5,6,8,7)	-1173.02	-1172.09	-1175.07	0.273022	0.692015	0.0349628	4	2
(3,5,2,8)	-1258.96	-1259.05	-1257.71	0.184959	0.16886	0.646181	7	3
(6,4,1,2)	-1113.23	-1116.03	-1118.44	0.937839	0.0570359	0.00512528	1	1
(7,8,6,4)	-1180.73	-1173.16	-1181.6	0.000512008	0.999273	0.000215124	2	2
(2,5,3,1)	-1113.71	-1113.96	-1108.19	0.00398303	0.00310695	0.99291	3	3
(7,6,4,5)	-1089.69	-1098.91	-1098.88	0.999799	9.83475e-05	0.000102234	1	1
(1,3,2,6)	-1080.21	-1073.3	-1079.53	0.000995151	0.997043	0.00196231	2	2
(8,2,7,1)	-1238.51	-1231.42	-1238.97	0.000829703	0.998646	0.000524308	2	2
(8,7,6,2)	-1203.43	-1204.46	-1199.42	0.0176966	0.00630939	0.975994	3	3
(7,3,1,6)	-1025.73	-1025.81	-1003.77	2.9108e-10	2.70382e-10	1	3	3
(4,8,2,6)	-1267.07	-1266.93	-1268.48	0.418186	0.479486	0.102328	4	2
(7,4,5,2)	-1196.73	-1192.44	-1197.78	0.0134634	0.981799	0.00473779	2	2
(1,6,8,5)	-1211.89	-1211.23	-1211.89	0.254965	0.490066	0.254969	7	2
(1,8,6,2)	-1220.89	-1220.35	-1216.25	0.0093922	0.0161258	0.974482	3	3
(7,1,2,6)	-1081.53	-1081.53	-1048.26	3.56303e-15	3.56514e-15	1	3	3
(4,8,3,1)	-1198.48	-1200.04	-1199.18	0.585417	0.123667	0.290916	6	1
(3,7,1,2)	-1096.39	-1105.21	-1104.67	0.999598	0.000148366	0.000253722	1	1
(4,8,6,7)	-1173.16	-1180.73	-1181.6	0.999273	0.00051234	0.000215154	1	1
(4,1,6,2)	-1118.44	-1113.23	-1116.03	0.00512701	0.93784	0.0570334	2	2
(5,4,1,7)	-1145.42	-1145.31	-1143.31	0.0964708	0.108349	0.79518	3	3
(6,4,2,7)	-1122.07	-1122.07	-1100.65	4.98758e-10	4.98452e-10	1	3	3
(8,4,6,7)	-1173.16	-1181.6	-1180.73	0.999272	0.000215231	0.00051232	1	1
(6,5,1,3)	-1074.42	-1076.28	-1076.8	0.800931	0.124828	0.0742408	1	1
(4,8,7,2)	-1280.95	-1282.41	-1278.63	0.0875518	0.0204533	0.891995	3	3
(4,2,7,8)	-1278.63	-1282.41	-1280.95	0.891993	0.0204552	0.0875516	1	1
(5,7,2,3)	-1156.32	-1156	-1159.12	0.411122	0.563961	0.0249172	4	2
(4,2,7,6)	-1100.65	-1122.07	-1122.07	1	4.9844e-10	4.9843e-10	1	1
(2,5,8,6)	-1272.29	-1271.2	-1272.37	0.204649	0.606352	0.188998	7	2
(2,8,3,4)	-1248.81	-1247.8	-1246.46	0.0706105	0.192548	0.736841	3	3
